_id;album;musica;compositor;genero
2436;Greatest Hits;The Right Thing;Mick Hucknall;Rock
2437;Greatest Hits;It's Only Love;Jimmy and Vella Cameron;Rock
2438;Greatest Hits;A New Flame;Mick Hucknall;Rock
2439;Greatest Hits;You've Got It;Mick Hucknall and Lamont Dozier;Rock
2440;Greatest Hits;If You Don't Know Me By Now;Kenny Gamble and Leon Huff;Rock
2441;Greatest Hits;Stars;Mick Hucknall;Rock
2442;Greatest Hits;Something Got Me Started;Mick Hucknall and Fritz McIntyre;Rock
2443;Greatest Hits;Thrill Me;Mick Hucknall and Fritz McIntyre;Rock
2444;Greatest Hits;Your Mirror;Mick Hucknall;Rock
2445;Greatest Hits;For Your Babies;Mick Hucknall;Rock
2446;Greatest Hits;So Beautiful;Mick Hucknall;Rock
2447;Greatest Hits;Angel;Carolyn Franklin and Sonny Saunders;Rock
2448;Greatest Hits;Fairground;Mick Hucknall;Rock
2449;Maquinarama;Água E Fogo;Chico Amaral/Edgard Scandurra/Samuel Rosa;Rock
2450;Maquinarama;Três Lados;Chico Amaral/Samuel Rosa;Rock
2451;Maquinarama;Ela Desapareceu;Chico Amaral/Samuel Rosa;Rock
2452;Maquinarama;Balada Do Amor Inabalável;Fausto Fawcett/Samuel Rosa;Rock
2453;Maquinarama;Canção Noturna;Chico Amaral/Lelo Zanettik;Rock
2454;Maquinarama;Muçulmano;Leão, Rodrigo F./Samuel Rosa;Rock
2455;Maquinarama;Maquinarama;Chico Amaral/Samuel Rosa;Rock
2456;Maquinarama;Rebelião;Chico Amaral/Samuel Rosa;Rock
2457;Maquinarama;A Última Guerra;Leão, Rodrigo F./Lô Borges/Samuel Rosa;Rock
2458;Maquinarama;Fica;Chico Amaral/Samuel Rosa;Rock
2459;Maquinarama;Ali;Nando Reis/Samuel Rosa;Rock
2460;Maquinarama;Preto Damião;Chico Amaral/Samuel Rosa;Rock
2461;O Samba Poconé;É Uma Partida De Futebol;Samuel Rosa;Rock
2462;O Samba Poconé;Eu Disse A Ela;Samuel Rosa;Rock
2463;O Samba Poconé;Zé Trindade;Samuel Rosa;Rock
2464;O Samba Poconé;Garota Nacional;Samuel Rosa;Rock
2465;O Samba Poconé;Tão Seu;Samuel Rosa;Rock
2466;O Samba Poconé;Sem Terra;Samuel Rosa;Rock
2467;O Samba Poconé;Os Exilados;Samuel Rosa;Rock
2468;O Samba Poconé;Um Dia Qualquer;Samuel Rosa;Rock
2469;O Samba Poconé;Los Pretos;Samuel Rosa;Rock
2470;O Samba Poconé;Sul Da América;Samuel Rosa;Rock
2471;O Samba Poconé;Poconé;Samuel Rosa;Rock
2506;A-Sides;Nothing To Say;Chris Cornell/Kim Thayil;Rock
2507;A-Sides;Flower;Chris Cornell/Kim Thayil;Rock
2508;A-Sides;Loud Love;Chris Cornell;Rock
2509;A-Sides;Hands All Over;Chris Cornell/Kim Thayil;Rock
2510;A-Sides;Get On The Snake;Chris Cornell/Kim Thayil;Rock
2511;A-Sides;Jesus Christ Pose;Ben Shepherd/Chris Cornell/Kim Thayil/Matt Cameron;Rock
2512;A-Sides;Outshined;Chris Cornell;Rock
2513;A-Sides;Rusty Cage;Chris Cornell;Rock
2514;A-Sides;Spoonman;Chris Cornell;Rock
2515;A-Sides;The Day I Tried To Live;Chris Cornell;Rock
2516;A-Sides;Black Hole Sun;Soundgarden;Rock
2517;A-Sides;Fell On Black Days;Chris Cornell;Rock
2518;A-Sides;Pretty Noose;Chris Cornell;Rock
2519;A-Sides;Burden In My Hand;Chris Cornell;Rock
2520;A-Sides;Blow Up The Outside World;Chris Cornell;Rock
2521;A-Sides;Ty Cobb;Ben Shepherd/Chris Cornell;Rock
2522;A-Sides;Bleed Together;Chris Cornell;Rock
2542;Core;Dead And Bloated;R. DeLeo/Weiland;Rock
2543;Core;Sex Type Thing;D. DeLeo/Kretz/Weiland;Rock
2544;Core;Wicked Garden;D. DeLeo/R. DeLeo/Weiland;Rock
2545;Core;No Memory;Dean Deleo;Rock
2546;Core;Sin;R. DeLeo/Weiland;Rock
2547;Core;Naked Sunday;D. DeLeo/Kretz/R. DeLeo/Weiland;Rock
2548;Core;Creep;R. DeLeo/Weiland;Rock
2549;Core;Piece Of Pie;R. DeLeo/Weiland;Rock
2550;Core;Plush;R. DeLeo/Weiland;Rock
2551;Core;Wet My Bed;R. DeLeo/Weiland;Rock
2552;Core;Crackerman;Kretz/R. DeLeo/Weiland;Rock
2553;Core;Where The River Goes;D. DeLeo/Kretz/Weiland;Rock
2565;[1997] Black Light Syndrome;The Sun Road;Terry Bozzio, Steve Stevens, Tony Levin;Rock
2566;[1997] Black Light Syndrome;Dark Corners;Terry Bozzio, Steve Stevens, Tony Levin;Rock
2567;[1997] Black Light Syndrome;Duende;Terry Bozzio, Steve Stevens, Tony Levin;Rock
2568;[1997] Black Light Syndrome;Black Light Syndrome;Terry Bozzio, Steve Stevens, Tony Levin;Rock
2569;[1997] Black Light Syndrome;Falling in Circles;Terry Bozzio, Steve Stevens, Tony Levin;Rock
2570;[1997] Black Light Syndrome;Book of Hours;Terry Bozzio, Steve Stevens, Tony Levin;Rock
2571;[1997] Black Light Syndrome;Chaos-Control;Terry Bozzio, Steve Stevens, Tony Levin;Rock
2609;Beyond Good And Evil;War (The Process);Billy Duffy/Ian Astbury;Rock
2610;Beyond Good And Evil;The Saint;Billy Duffy/Ian Astbury;Rock
2611;Beyond Good And Evil;Rise;Billy Duffy/Ian Astbury;Rock
2612;Beyond Good And Evil;Take The Power;Billy Duffy/Ian Astbury;Rock
2613;Beyond Good And Evil;Breathe;Billy Duffy/Ian Astbury/Marti Frederiksen/Mick Jones;Rock
2614;Beyond Good And Evil;Nico;Billy Duffy/Ian Astbury;Rock
2615;Beyond Good And Evil;American Gothic;Billy Duffy/Ian Astbury;Rock
2616;Beyond Good And Evil;Ashes And Ghosts;Billy Duffy/Bob Rock/Ian Astbury;Rock
2617;Beyond Good And Evil;Shape The Sky;Billy Duffy/Ian Astbury;Rock
2618;Beyond Good And Evil;Speed Of Light;Billy Duffy/Bob Rock/Ian Astbury;Rock
2619;Beyond Good And Evil;True Believers;Billy Duffy/Ian Astbury;Rock
2620;Beyond Good And Evil;My Bridges Burn;Billy Duffy/Ian Astbury;Rock
2621;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];She Sells Sanctuary;;Rock
2622;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Fire Woman;;Rock
2623;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Lil' Evil;;Rock
2624;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Spirit Walker;;Rock
2625;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];The Witch;;Rock
2626;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Revolution;;Rock
2627;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Wild Hearted Son;;Rock
2628;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Love Removal Machine;;Rock
2629;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Rain;;Rock
2630;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Edie (Ciao Baby);;Rock
2631;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Heart Of Soul;;Rock
2632;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Love;;Rock
2633;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Wild Flower;;Rock
2634;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Go West;;Rock
2635;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Resurrection Joe;;Rock
2636;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Sun King;;Rock
2637;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Sweet Soul Sister;;Rock
2638;Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK];Earth Mofo;;Rock
2639;The Doors;Break on Through;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2640;The Doors;Soul Kitchen;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2641;The Doors;The Crystal Ship;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2642;The Doors;Twentienth Century Fox;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2643;The Doors;Alabama Song;Weill-Brecht;Rock
2644;The Doors;Light My Fire;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2645;The Doors;Back Door Man;Willie Dixon, C. Burnett;Rock
2646;The Doors;I Looked At You;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2647;The Doors;End Of The Night;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2648;The Doors;Take It As It Comes;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2649;The Doors;The End;Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison;Rock
2650;The Police Greatest Hits;Roxanne;G M Sumner;Rock
2651;The Police Greatest Hits;Can't Stand Losing You;G M Sumner;Rock
2652;The Police Greatest Hits;Message in a Bottle;G M Sumner;Rock
2653;The Police Greatest Hits;Walking on the Moon;G M Sumner;Rock
2654;The Police Greatest Hits;Don't Stand so Close to Me;G M Sumner;Rock
2655;The Police Greatest Hits;De Do Do Do, De Da Da Da;G M Sumner;Rock
2656;The Police Greatest Hits;Every Little Thing She Does is Magic;G M Sumner;Rock
2657;The Police Greatest Hits;Invisible Sun;G M Sumner;Rock
2658;The Police Greatest Hits;Spirit's in the Material World;G M Sumner;Rock
2659;The Police Greatest Hits;Every Breath You Take;G M Sumner;Rock
2660;The Police Greatest Hits;King Of Pain;G M Sumner;Rock
2661;The Police Greatest Hits;Wrapped Around Your Finger;G M Sumner;Rock
2662;The Police Greatest Hits;Dont Stand So Close to Me 86;G M Sumner;Rock
2663;The Police Greatest Hits;Message in a Bottle (new classic rock mix);G M Sumner;Rock
2664;Hot Rocks, 1964-1971 (Disc 1);Time Is On My Side;Jerry Ragavoy;Rock
2665;Hot Rocks, 1964-1971 (Disc 1);Heart Of Stone;Jagger/Richards;Rock
2666;Hot Rocks, 1964-1971 (Disc 1);Play With Fire;Nanker Phelge;Rock
2667;Hot Rocks, 1964-1971 (Disc 1);Satisfaction;Jagger/Richards;Rock
2668;Hot Rocks, 1964-1971 (Disc 1);As Tears Go By;Jagger/Richards/Oldham;Rock
2669;Hot Rocks, 1964-1971 (Disc 1);Get Off Of My Cloud;Jagger/Richards;Rock
2670;Hot Rocks, 1964-1971 (Disc 1);Mother's Little Helper;Jagger/Richards;Rock
2671;Hot Rocks, 1964-1971 (Disc 1);19th Nervous Breakdown;Jagger/Richards;Rock
2672;Hot Rocks, 1964-1971 (Disc 1);Paint It Black;Jagger/Richards;Rock
2673;Hot Rocks, 1964-1971 (Disc 1);Under My Thumb;Jagger/Richards;Rock
2674;Hot Rocks, 1964-1971 (Disc 1);Ruby Tuesday;Jagger/Richards;Rock
2675;Hot Rocks, 1964-1971 (Disc 1);Let's Spend The Night Together;Jagger/Richards;Rock
2676;No Security;Intro;Jagger/Richards;Rock
2677;No Security;You Got Me Rocking;Jagger/Richards;Rock
2678;No Security;Gimmie Shelters;Jagger/Richards;Rock
2679;No Security;Flip The Switch;Jagger/Richards;Rock
2680;No Security;Memory Motel;Jagger/Richards;Rock
2681;No Security;Corinna;Jesse Ed Davis III/Taj Mahal;Rock
2682;No Security;Saint Of Me;Jagger/Richards;Rock
2683;No Security;Wainting On A Friend;Jagger/Richards;Rock
2684;No Security;Sister Morphine;Faithfull/Jagger/Richards;Rock
2685;No Security;Live With Me;Jagger/Richards;Rock
2686;No Security;Respectable;Jagger/Richards;Rock
2687;No Security;Thief In The Night;De Beauport/Jagger/Richards;Rock
2688;No Security;The Last Time;Jagger/Richards;Rock
2689;No Security;Out Of Control;Jagger/Richards;Rock
2690;Voodoo Lounge;Love Is Strong;Jagger/Richards;Rock
2691;Voodoo Lounge;You Got Me Rocking;Jagger/Richards;Rock
2692;Voodoo Lounge;Sparks Will Fly;Jagger/Richards;Rock
2693;Voodoo Lounge;The Worst;Jagger/Richards;Rock
2694;Voodoo Lounge;New Faces;Jagger/Richards;Rock
2695;Voodoo Lounge;Moon Is Up;Jagger/Richards;Rock
2696;Voodoo Lounge;Out Of Tears;Jagger/Richards;Rock
2697;Voodoo Lounge;I Go Wild;Jagger/Richards;Rock
2698;Voodoo Lounge;Brand New Car;Jagger/Richards;Rock
2699;Voodoo Lounge;Sweethearts Together;Jagger/Richards;Rock
2700;Voodoo Lounge;Suck On The Jugular;Jagger/Richards;Rock
2701;Voodoo Lounge;Blinded By Rainbows;Jagger/Richards;Rock
2702;Voodoo Lounge;Baby Break It Down;Jagger/Richards;Rock
2703;Voodoo Lounge;Thru And Thru;Jagger/Richards;Rock
2704;Voodoo Lounge;Mean Disposition;Jagger/Richards;Rock
2731;My Generation - The Very Best Of The Who;I Can't Explain;Pete Townshend;Rock
2732;My Generation - The Very Best Of The Who;Anyway, Anyhow, Anywhere;Pete Townshend, Roger Daltrey;Rock
2733;My Generation - The Very Best Of The Who;My Generation;John Entwistle/Pete Townshend;Rock
2734;My Generation - The Very Best Of The Who;Substitute;Pete Townshend;Rock
2735;My Generation - The Very Best Of The Who;I'm A Boy;Pete Townshend;Rock
2736;My Generation - The Very Best Of The Who;Boris The Spider;John Entwistle;Rock
2737;My Generation - The Very Best Of The Who;Happy Jack;Pete Townshend;Rock
2738;My Generation - The Very Best Of The Who;Pictures Of Lily;Pete Townshend;Rock
2739;My Generation - The Very Best Of The Who;I Can See For Miles;Pete Townshend;Rock
2740;My Generation - The Very Best Of The Who;Magic Bus;Pete Townshend;Rock
2741;My Generation - The Very Best Of The Who;Pinball Wizard;John Entwistle/Pete Townshend;Rock
2742;My Generation - The Very Best Of The Who;The Seeker;Pete Townshend;Rock
2743;My Generation - The Very Best Of The Who;Baba O'Riley;John Entwistle/Pete Townshend;Rock
2744;My Generation - The Very Best Of The Who;Won't Get Fooled Again (Full Length Version);John Entwistle/Pete Townshend;Rock
2745;My Generation - The Very Best Of The Who;Let's See Action;Pete Townshend;Rock
2746;My Generation - The Very Best Of The Who;5.15;Pete Townshend;Rock
2747;My Generation - The Very Best Of The Who;Join Together;Pete Townshend;Rock
2748;My Generation - The Very Best Of The Who;Squeeze Box;Pete Townshend;Rock
2749;My Generation - The Very Best Of The Who;Who Are You (Single Edit Version);John Entwistle/Pete Townshend;Rock
2750;My Generation - The Very Best Of The Who;You Better You Bet;Pete Townshend;Rock
2926;Achtung Baby;Zoo Station;U2;Rock
2927;Achtung Baby;Even Better Than The Real Thing;U2;Rock
2928;Achtung Baby;One;U2;Rock
2929;Achtung Baby;Until The End Of The World;U2;Rock
2930;Achtung Baby;Who's Gonna Ride Your Wild Horses;U2;Rock
2931;Achtung Baby;So Cruel;U2;Rock
2932;Achtung Baby;The Fly;U2;Rock
2933;Achtung Baby;Mysterious Ways;U2;Rock
2934;Achtung Baby;Tryin' To Throw Your Arms Around The World;U2;Rock
2935;Achtung Baby;Ultraviolet (Light My Way);U2;Rock
2936;Achtung Baby;Acrobat;U2;Rock
2937;Achtung Baby;Love Is Blindness;U2;Rock
2938;All That You Can't Leave Behind;Beautiful Day;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2939;All That You Can't Leave Behind;Stuck In A Moment You Can't Get Out Of;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2940;All That You Can't Leave Behind;Elevation;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2941;All That You Can't Leave Behind;Walk On;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2942;All That You Can't Leave Behind;Kite;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2943;All That You Can't Leave Behind;In A Little While;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2944;All That You Can't Leave Behind;Wild Honey;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2945;All That You Can't Leave Behind;Peace On Earth;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2946;All That You Can't Leave Behind;When I Look At The World;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2947;All That You Can't Leave Behind;New York;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2948;All That You Can't Leave Behind;Grace;Adam Clayton, Bono, Larry Mullen, The Edge;Rock
2949;B-Sides 1980-1990;The Three Sunrises;U2;Rock
2950;B-Sides 1980-1990;Spanish Eyes;U2;Rock
2951;B-Sides 1980-1990;Sweetest Thing;U2;Rock
2952;B-Sides 1980-1990;Love Comes Tumbling;U2;Rock
2953;B-Sides 1980-1990;Bass Trap;U2;Rock
2954;B-Sides 1980-1990;Dancing Barefoot;Ivan Kral/Patti Smith;Rock
2955;B-Sides 1980-1990;Everlasting Love;Buzz Cason/Mac Gayden;Rock
2956;B-Sides 1980-1990;Unchained Melody;Alex North/Hy Zaret;Rock
2957;B-Sides 1980-1990;Walk To The Water;U2;Rock
2958;B-Sides 1980-1990;Luminous Times (Hold On To Love);Brian Eno/U2;Rock
2959;B-Sides 1980-1990;Hallelujah Here She Comes;U2;Rock
2960;B-Sides 1980-1990;Silver And Gold;Bono;Rock
2961;B-Sides 1980-1990;Endless Deep;U2;Rock
2962;B-Sides 1980-1990;A Room At The Heartbreak Hotel;U2;Rock
2963;B-Sides 1980-1990;Trash, Trampoline And The Party Girl;U2;Rock
2964;How To Dismantle An Atomic Bomb;Vertigo;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2965;How To Dismantle An Atomic Bomb;Miracle Drug;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2966;How To Dismantle An Atomic Bomb;Sometimes You Can't Make It On Your Own;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2967;How To Dismantle An Atomic Bomb;Love And Peace Or Else;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2968;How To Dismantle An Atomic Bomb;City Of Blinding Lights;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2969;How To Dismantle An Atomic Bomb;All Because Of You;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2970;How To Dismantle An Atomic Bomb;A Man And A Woman;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2971;How To Dismantle An Atomic Bomb;Crumbs From Your Table;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2972;How To Dismantle An Atomic Bomb;One Step Closer;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2973;How To Dismantle An Atomic Bomb;Original Of The Species;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2974;How To Dismantle An Atomic Bomb;Yahweh;Adam Clayton, Bono, Larry Mullen & The Edge;Rock
2975;Pop;Discotheque;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2976;Pop;Do You Feel Loved;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2977;Pop;Mofo;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2978;Pop;If God Will Send His Angels;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2979;Pop;Staring At The Sun;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2980;Pop;Last Night On Earth;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2981;Pop;Gone;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2982;Pop;Miami;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2983;Pop;The Playboy Mansion;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2984;Pop;If You Wear That Velvet Dress;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2985;Pop;Please;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2986;Pop;Wake Up Dead Man;Bono, The Edge, Adam Clayton, and Larry Mullen;Rock
2987;Rattle And Hum;Helter Skelter;Lennon, John/McCartney, Paul;Rock
2988;Rattle And Hum;Van Diemen's Land;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
2989;Rattle And Hum;Desire;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
2990;Rattle And Hum;Hawkmoon 269;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
2991;Rattle And Hum;All Along The Watchtower;Dylan, Bob;Rock
2992;Rattle And Hum;I Still Haven't Found What Im Looking for;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
2993;Rattle And Hum;Freedom For My People;Mabins, Macie/Magee, Sterling/Robinson, Bobby;Rock
2994;Rattle And Hum;Silver And Gold;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
2995;Rattle And Hum;Pride (In The Name Of Love);Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
2996;Rattle And Hum;Angel Of Harlem;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
2997;Rattle And Hum;Love Rescue Me;Bono/Clayton, Adam/Dylan, Bob/Mullen Jr., Larry/The Edge;Rock
2998;Rattle And Hum;When Love Comes To Town;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
2999;Rattle And Hum;Heartland;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
3000;Rattle And Hum;God Part II;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
3001;Rattle And Hum;The Star Spangled Banner;Hendrix, Jimi;Rock
3002;Rattle And Hum;Bullet The Blue Sky;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
3003;Rattle And Hum;All I Want Is You;Bono/Clayton, Adam/Mullen Jr., Larry/The Edge;Rock
3004;The Best Of 1980-1990;Pride (In The Name Of Love);U2;Rock
3005;The Best Of 1980-1990;New Year's Day;U2;Rock
3006;The Best Of 1980-1990;With Or Without You;U2;Rock
3007;The Best Of 1980-1990;I Still Havent Found What Im Looking For;U2;Rock
3008;The Best Of 1980-1990;Sunday Bloody Sunday;U2;Rock
3009;The Best Of 1980-1990;Bad;U2;Rock
3010;The Best Of 1980-1990;Where The Streets Have No Name;U2;Rock
3011;The Best Of 1980-1990;I Will Follow;U2;Rock
3012;The Best Of 1980-1990;The Unforgettable Fire;U2;Rock
3013;The Best Of 1980-1990;Sweetest Thing;U2 & Daragh O'Toole;Rock
3014;The Best Of 1980-1990;Desire;U2;Rock
3015;The Best Of 1980-1990;When Love Comes To Town;U2;Rock
3016;The Best Of 1980-1990;Angel Of Harlem;U2;Rock
3017;The Best Of 1980-1990;All I Want Is You;U2 & Van Dyke Parks;Rock
3018;War;Sunday Bloody Sunday;U2;Rock
3019;War;Seconds;U2;Rock
3020;War;New Year's Day;U2;Rock
3021;War;Like A Song...;U2;Rock
3022;War;Drowning Man;U2;Rock
3023;War;The Refugee;U2;Rock
3024;War;Two Hearts Beat As One;U2;Rock
3025;War;Red Light;U2;Rock
3026;War;Surrender;U2;Rock
3027;War;"""40""";U2;Rock
3028;Zooropa;Zooropa;"U2; Bono";Rock
3029;Zooropa;Babyface;"U2; Bono";Rock
3030;Zooropa;Numb;"U2; Edge, The";Rock
3031;Zooropa;Lemon;"U2; Bono";Rock
3032;Zooropa;Stay (Faraway, So Close!);"U2; Bono";Rock
3033;Zooropa;Daddy's Gonna Pay For Your Crashed Car;"U2; Bono";Rock
3034;Zooropa;Some Days Are Better Than Others;"U2; Bono";Rock
3035;Zooropa;The First Time;"U2; Bono";Rock
3036;Zooropa;Dirty Day;"U2; Bono & Edge, The";Rock
3037;Zooropa;The Wanderer;"U2; Bono";Rock
3052;Diver Down;Where Have All The Good Times Gone?;Ray Davies;Rock
3053;Diver Down;Hang 'Em High;Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony;Rock
3054;Diver Down;Cathedral;Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony;Rock
3055;Diver Down;Secrets;Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony;Rock
3056;Diver Down;Intruder;Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony;Rock
3057;Diver Down;(Oh) Pretty Woman;Bill Dees/Roy Orbison;Rock
3058;Diver Down;Dancing In The Street;Ivy Jo Hunter/Marvin Gaye/William Stevenson;Rock
3059;Diver Down;Little Guitars (Intro);Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony;Rock
3060;Diver Down;Little Guitars;Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony;Rock
3061;Diver Down;Big Bad Bill (Is Sweet William Now);Jack Yellen/Milton Ager;Rock
3062;Diver Down;The Full Bug;Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony;Rock
3063;Diver Down;Happy Trails;Dale Evans;Rock
3064;The Best Of Van Halen, Vol. I;Eruption;Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony;Rock
3065;The Best Of Van Halen, Vol. I;Aint Talkin bout Love;Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony;Rock
3066;The Best Of Van Halen, Vol. I;Runnin' With The Devil;Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony;Rock
3067;The Best Of Van Halen, Vol. I;Dance the Night Away;Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony;Rock
3068;The Best Of Van Halen, Vol. I;And the Cradle Will Rock...;Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony;Rock
3069;The Best Of Van Halen, Vol. I;Unchained;Edward Van Halen, Alex Van Halen, David Lee Roth, Michael Anthony;Rock
3070;The Best Of Van Halen, Vol. I;Jump;Edward Van Halen, Alex Van Halen, David Lee Roth;Rock
3071;The Best Of Van Halen, Vol. I;Panama;Edward Van Halen, Alex Van Halen, David Lee Roth;Rock
3072;The Best Of Van Halen, Vol. I;Why Can't This Be Love;Van Halen;Rock
3073;The Best Of Van Halen, Vol. I;Dreams;Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, Sammy Hagar;Rock
3074;The Best Of Van Halen, Vol. I;When It's Love;Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, Sammy Hagar;Rock
3075;The Best Of Van Halen, Vol. I;Poundcake;Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, Sammy Hagar;Rock
3076;The Best Of Van Halen, Vol. I;Right Now;Van Halen;Rock
3077;The Best Of Van Halen, Vol. I;Can't Stop Loving You;Van Halen;Rock
3078;The Best Of Van Halen, Vol. I;Humans Being;Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, Sammy Hagar;Rock
3079;The Best Of Van Halen, Vol. I;Can't Get This Stuff No More;Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, David Lee Roth;Rock
3080;The Best Of Van Halen, Vol. I;Me Wise Magic;Edward Van Halen, Alex Van Halen, Michael Anthony,/Edward Van Halen, Alex Van Halen, Michael Anthony, David Lee Roth;Rock
3081;Van Halen;Runnin' With The Devil;Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth;Rock
3082;Van Halen;Eruption;Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth;Rock
3083;Van Halen;You Really Got Me;Ray Davies;Rock
3084;Van Halen;Aint Talkin Bout Love;Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth;Rock
